,,,,,,,,,,,,,,,,,,,,,,,,
Кейсы,,,,,,,,,,,Баги ,,,,,,вопросы,,,,,,,
Номер кейса,Название кейса,Предусловие,Шаги,Ожидаемый результат,,,,,,,Номер,Название,Шаги,Ожидаемый результат,Фактический результат,,"1. Должно ли быть так, что бегунок модемного решения нельзя перетягивать мышкой, только кнопками ""+"" и ""-"" ?",,,,,,,
11,Отсутствие денег на балансе при первом запуске приложения,Открыт браузер,"1.В адресную строку ввести адрес: http://localhost:4567/index.html
2.Убедиться, что в интерфейсе пополнения баланса пользователя баланс равен ""0""","1.Откроется Приложение Yota test slider
2.Баланс интерфейса пополнения баланса равен ""0""",,,,,,,,,,,,,,,,,,,,
12,"Кнопка ""Сброс""","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0
3.Бегунок модемного решения находится в крайне левом положении","1.В окно ввода ""Пополнить счет"" ввести ""1000"" нажать кнопку ""Пополнить счет""
2.Нажать ""+"" бегунка модемного решения
3.Нажать кнопку ""Сброс""","1.Баланс счета изменяется на ""1000""
2.Бегунок смещается вправо, кнопка ""Подключить"" становится активной
3.Баланс счета изменяется на ""0"", бегунок смещается в крайне левое положение",,,,,,,,,,,,,,,,,,,,
13,Баланс и текущий тариф при перезапуске ,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0
3.Бегунок модемного решения находится в крайне левом положении","1.В окно ввода ""Пополнить счет"" ввести ""1000"" нажать кнопку ""Пополнить счет""
2.Нажать ""+"" бегунка модемного решения
3.Нажать кнопку ""Подключить""
4.Перезапустить приложение ","1.Баланс счета изменяется на ""1000""
2.Бегунок смещается вправо, кнопка ""Подключить"" становится активной
3.Подключается условие, баланс счета изменяется на ""700""
4.Баланс счета остается неизменным, подключенное условие сбрасывается ,бегунок смещается в крайне левое положение",,,,,,,,,,,,,,,,,,,,
14,Ввод текста на латинице в поле интерфейса пополнение баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""qwerty"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
15,Ввод текста на латинице разного регистра в поле интерфейса пополнение баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""qWerTy"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
16,Ввод текста на кириллице  в поле интерфейса пополнение баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""курс"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
17,Ввод текста на латинице разного регистра в поле интерфейса пополнение баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""кУрС"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
18,Ввод специальных символов в поле интерфейса пополнение баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""@#$%^&*()-_+=`~/\,"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
19,Пустое поле интерфейса пополнение баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","Окно ввода ""Пополнить счет"" оставить пустым, нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
20,Ввод скрипта в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""<script>alert(123)</script>"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
21,Ввод нескольких пробелов в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести несколько пробелов, нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
22,Ввод дробного значения через точку в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""10.6"", нажать кнопку ""Пополнить счет""","Баланс счета изменяется на ""10.6"", окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
23,Ввод дробного значения через запятую в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""10,6"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
24,Ввод чисел через пробел в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""10"" несколько пробелов ""15"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
25,"Ввод нескольких ""0"" перед числом в поле интерфейса пополнения баланса","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""10"" несколько пробелов ""15"", нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
26,Ввод пробела перед числом в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести пробел ""15"", нажать кнопку ""Пополнить счет""","Баланс счета изменяется на ""15"", окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
27,Ввод пробела после числа в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""15"" пробел , нажать кнопку ""Пополнить счет""","Баланс счета изменяется на ""15"", окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
28,"Ввод чисел через ""e"" в поле интерфейса пополнения баланса","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""1.2e+4"" , нажать кнопку ""Пополнить счет""","Баланс счета изменяется на ""12000"", окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
29,"Ввод чисел в ""ковычках"" в поле интерфейса пополнения баланса","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести "" ""15"" "" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
30,Ввод чисел в квадратных скобках в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести "" [15] "" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
31,Ввод чисел в фигурных скобках в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести "" {15} "" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
32,Ввод букв на латинице и цифр в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""qwe100"" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
33,Ввод цифр и букв на латинице в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""100qwe"" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
34,Ввод букв на кириллице и цифр в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""мир100"" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
35,Ввод цифр и букв на кириллице в поле интерфейса пополнения баланса,"1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""100мир"" , нажать кнопку ""Пополнить счет""","Баланс счета остается прежним, окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
36,"Ввод ""0"" перед числом в поле интерфейса пополнения баланса","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""0100"" , нажать кнопку ""Пополнить счет""","Баланс счета изменяется на ""100"", окно ввода изменяется на ""0""",,,,,,,,,,,,,,,,,,,,
